role_id,skill_id,skill_name,skill_type,importance,source,source_occupation_code,source_element_id,importance_method,curation_note
R01,ONET_2_B_3_e,Programming,soft,75.0,O*NET Transferable Skills,15-1252.00,2.B.3.e,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_A_2_a,Critical Thinking,technical,72.0,O*NET Essential Skills,15-1252.00,2.A.2.a,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_B_4_e,Judgment and Decision Making,soft,65.5,O*NET Transferable Skills,15-1252.00,2.B.4.e,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_A_2_b,Active Learning,technical,62.5,O*NET Essential Skills,15-1252.00,2.A.2.b,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_A_1_a,Reading Comprehension,technical,62.5,O*NET Essential Skills,15-1252.00,2.A.1.a,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_B_4_g,Systems Analysis,soft,62.5,O*NET Transferable Skills,15-1252.00,2.B.4.g,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_A_1_b,Active Listening,technical,59.5,O*NET Essential Skills,15-1252.00,2.A.1.b,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_B_2_i,Complex Problem Solving,soft,59.5,O*NET Transferable Skills,15-1252.00,2.B.2.i,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_B_4_h,Systems Evaluation,soft,59.5,O*NET Transferable Skills,15-1252.00,2.B.4.h,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_B_3_b,Technology Design,soft,59.5,O*NET Transferable Skills,15-1252.00,2.B.3.b,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_B_3_a,Operations Analysis,soft,56.2,O*NET Transferable Skills,15-1252.00,2.B.3.a,O*NET Importance normalized as (raw-1)/4*100,
R01,ONET_2_A_1_c,Writing,technical,56.2,O*NET Essential Skills,15-1252.00,2.A.1.c,O*NET Importance normalized as (raw-1)/4*100,
R02,ONET_2_A_1_a,Reading Comprehension,technical,75.0,O*NET Essential Skills,15-2051.01,2.A.1.a,O*NET Importance normalized as (raw-1)/4*100,
R02,ONET_2_A_2_b,Active Learning,technical,72.0,O*NET Essential Skills,15-2051.01,2.A.2.b,O*NET Importance normalized as (raw-1)/4*100,
R02,ONET_2_A_1_b,Active Listening,technical,72.0,O*NET Essential Skills,15-2051.01,2.A.1.b,O*NET Importance normalized as (raw-1)/4*100,
R02,ONET_2_A_2_a,Critical Thinking,technical,72.0,O*NET Essential Skills,15-2051.01,2.A.2.a,O*NET Importance normalized as (raw-1)/4*100,
R02,ONET_2_A_1_d,Speaking,technical,72.0,O*NET Essential Skills,15-2051.01,2.A.1.d,O*NET Importance normalized as (raw-1)/4*100,
